region_id,area_pixels,area_ha,hotspot_frequency_mean,mean_excess_heat_c,hotspot_score_mean,mean_night_cooling_c,cooling_deficit_c,centroid_y,centroid_x,centroid_row,centroid_col,centroid_easting_m,centroid_northing_m,centroid_lon,centroid_lat,min_row,max_row,min_col,max_col,bbox_min_lon,bbox_max_lon,bbox_min_lat,bbox_max_lat,display_name,place_name,road,neighbourhood,suburb,city_district,village,town,city,county,state_district,state,postcode,country,country_code,osm_building_count,osm_building_footprint_area_m2,osm_building_density_fraction,osm_building_density_percent,osm_building_count_per_ha
24,27,2.4299999999999997,0.38223937153816223,4.349640846252441,1.664845585823059,5.409505367279053,1.5400373935699463,454.22222222222223,1092.037037037037,454.22222222222223,1092.037037037037,202441.11111111112,1127903.3333333333,78.28428441803962,10.192126623527404,451,457,1090,1095,78.28358176847615,78.2852393630432,10.191232484209253,10.193143324975608,"Melur, Madurai, Tamil Nadu, 625105, India",Melur,,,,,,,,Melur,Madurai,Tamil Nadu,625105,India,in,0,0.0,0.0,0.0,0.0
25,236,21.24,0.46202799677848816,4.785109996795654,2.22863507270813,6.5309529304504395,0.41858965158462524,467.47033898305085,1153.3728813559321,467.47033898305085,1153.3728813559321,204281.18644067796,1127505.8898305085,78.30109544021128,10.188675071175618,457,477,1146,1163,78.29891646855214,78.30388895206727,10.185938924026077,10.191671258434383,"Melur, Madurai, Tamil Nadu, 625105, India",Melur,,,,,,,,Melur,Madurai,Tamil Nadu,625105,India,in,0,0.0,0.0,0.0,0.0
26,129,11.61,0.4416210651397705,4.667042255401611,2.070006847381592,5.906159400939941,1.043383240699768,470.52713178294573,1075.9922480620155,470.52713178294573,1075.9922480620155,201959.76744186046,1127414.1860465116,78.27993227870873,10.187671032320257,461,479,1066,1086,78.27703871299401,78.28282761753326,10.185215243878298,10.190412576149365,"Melur, Madurai, Tamil Nadu, 625105, India",Melur,,,,,,,,Melur,Madurai,Tamil Nadu,625105,India,in,0,0.0,0.0,0.0,0.0
27,192,17.28,0.3434685170650482,3.250635862350464,1.1194357872009277,2.900629758834839,4.048913478851318,481.1041666666667,1340.5572916666667,481.1041666666667,1340.5572916666667,209896.71875,1127096.875,78.35233839403814,10.1853987635511,469,496,1332,1349,78.34983212411912,78.35481949488525,10.181205758642816,10.188834849303575,"Melur, Madurai, Tamil Nadu, 625101, India",Melur,,,,,,,,Melur,Madurai,Tamil Nadu,625101,India,in,0,0.0,0.0,0.0,0.0
28,2007,180.63,0.4593420922756195,5.572341442108154,2.565683126449585,6.537154197692871,0.5460033416748047,497.678624813154,1254.723966118585,497.678624813154,1254.723966118585,207321.71898355754,1126599.6412556053,78.32889234750117,10.180715376154161,470,534,1208,1297,78.31590864663683,78.34067804125482,10.17062969916774,10.188448311648182,"Melur, Madurai, Tamil Nadu, 625105, India",Melur,,,,,,,,Melur,Madurai,Tamil Nadu,625105,India,in,0,0.0,0.0,0.0,0.0
29,137,12.33,0.3646816611289978,3.364992618560791,1.2325365543365479,1.2694967985153198,5.680046081542969,482.8759124087591,1397.2919708029196,482.8759124087591,1397.2919708029196,211598.75912408758,1127043.7226277373,78.36786483355405,10.185043920849058,474,490,1390,1403,78.36571208368072,78.36958029237711,10.18296026925369,10.18759890306455,"Melur, Madurai, Tamil Nadu, 625101, India",Melur,,,,,,,,Melur,Madurai,Tamil Nadu,625101,India,in,0,0.0,0.0,0.0,0.0
30,89,8.01,0.34501758217811584,3.8441803455352783,1.3320672512054443,3.3819923400878906,3.5675504207611084,482.35955056179773,1319.1348314606741,482.35955056179773,1319.1348314606741,209254.04494382022,1127059.2134831462,78.3464801175174,10.18501096825895,478,491,1314,1325,78.34492755559243,78.3482420735546,10.182521010667926,10.186342243672627,"Karungalakudi, Melur, Madurai, Tamil Nadu, 625101, India",Karungalakudi,,,,,Karungalakudi,,,Melur,Madurai,Tamil Nadu,625101,India,in,0,0.0,0.0,0.0,0.0
31,889,80.00999999999999,0.3908560574054718,3.439361333847046,1.36317777633667,1.6853450536727905,5.264197826385498,492.8166479190101,1442.429696287964,492.8166479190101,1442.429696287964,212952.8908886389,1126745.5005624297,78.38023655621902,10.182448719260359,478,511,1416,1469,78.37283461523394,78.38768423379582,10.177325521317814,10.186659570903771,"Melur, Madurai, Tamil Nadu, 625101, India",Melur,,,,,,,,Melur,Madurai,Tamil Nadu,625101,India,in,0,0.0,0.0,0.0,0.0
32,191,17.189999999999998,0.3777112662792206,4.877785682678223,1.8412129878997803,6.079219341278076,0.8703235983848572,488.16230366492147,1094.1204188481674,488.16230366492147,1094.1204188481674,202503.61256544502,1126885.1308900523,78.28493228865084,10.182932662539281,479,500,1087,1103,78.28282532150277,78.28752661538728,10.179571487827534,10.185572723132035,"Melur, Madurai, Tamil Nadu, 625105, India",Melur,,,,,,,,Melur,Madurai,Tamil Nadu,625105,India,in,0,0.0,0.0,0.0,0.0
33,579,52.11,0.3906082510948181,3.3768229484558105,1.3316688537597656,2.0798251628875732,4.869718074798584,499.6580310880829,1367.7599309153713,499.6580310880829,1367.7599309153713,210712.79792746116,1126540.2590673575,78.35982234264557,10.180430051613623,482,511,1352,1387,78.35533316687393,78.36524946201638,10.177184412703953,10.185395269300027,"Melur, Madurai, Tamil Nadu, 625101, India",Melur,,,,,,,,Melur,Madurai,Tamil Nadu,625101,India,in,0,0.0,0.0,0.0,0.0
